census_block_group,Median Esimated Visitor Count,Total Population,Percent Male,Median Age,Percent Two races excluding Some other race and three or more races,Percent White alone,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Native Hawaiian and Other Pacific Islander alone,Percent Some other race alone,Percent Two or more races,Percent Asian alone & Two races including Some other race,Total Households,Percent Households with one or more people under 18 years,Percent Households with one or more people 60 years and over,Percent over 25 without a high school diploma,Percent over 25 with a bachelor’s degree or higher,Percent Households Income in the past 12 months below poverty level,Median Household Income,Percent Household received Food Stamps/SNAP,Percent Households received Food Stamps/SNAP have disability,Percent Employed,Percent Civilian labor force,Cluster
360050001001,226.92459016393445,6864,0.924388111888112,35.0,0.015005827505827506,0.32532051282051283,0.5571095571095571,0.0026223776223776225,0.0,0.07357226107226107,0.015005827505827506,0.026369463869463868,0,,,0.5159750275431509,0.01487330150569225,,,,,,0.0,2
360050002001,15.65930345049984,1744,0.4443807339449541,40.2,0.014908256880733948,0.4604357798165137,0.33142201834862384,0.0,0.0,0.19323394495412846,0.014908256880733948,0.0,460,0.4239130434782609,0.5413043478260869,0.2468916518650089,0.2779751332149201,0.32608695652173914,41968.0,0.3347826086956522,0.35714285714285715,0.7625,0.3669724770642202,2
360050002002,7.781847868199178,1569,0.5277246653919694,28.9,0.01338432122370937,0.3683875079668579,0.29190567240280435,0.0,0.0,0.28107074569789675,0.05863607393244105,0.045251752708731684,477,0.42138364779874216,0.42557651991614254,0.2431544359255203,0.30339539978094193,0.14465408805031446,48523.0,0.19077568134171907,0.6373626373626373,0.8601036269430051,0.3690248565965583,2
360050002003,9.376957755021284,1219,0.4840032813781788,42.2,0.043478260869565216,0.4413453650533224,0.2748154224774405,0.0,0.0,0.17883511074651354,0.043478260869565216,0.06152584085315833,405,0.4074074074074074,0.5851851851851851,0.13789237668161436,0.3060538116591928,0.02469135802469136,68060.0,0.10864197530864196,1.0,0.9859402460456942,0.4667760459392945,3
360050004001,6.738028169014085,598,0.5484949832775919,40.3,0.0,0.7073578595317725,0.06521739130434782,0.0,0.0,0.2157190635451505,0.0,0.011705685618729096,262,0.2137404580152672,0.4923664122137405,0.17473118279569896,0.206989247311828,0.31297709923664124,,0.09541984732824428,0.0,1.0,0.6053511705685619,3
360050004002,6.523469032707029,782,0.4590792838874681,47.0,0.029411764705882356,0.7468030690537084,0.17519181585677748,0.0,0.0,0.04859335038363171,0.029411764705882356,0.0,335,0.2895522388059701,0.4328358208955224,0.21869782971619364,0.1953255425709516,0.19104477611940301,60958.0,0.16119402985074627,1.0,0.9673590504451038,0.4309462915601023,3
360050004003,10.410340357593446,3425,0.5153284671532846,41.1,0.051678832116788316,0.31416058394160584,0.41255474452554747,0.004963503649635037,0.0,0.15007299270072993,0.06627737226277372,0.06656934306569343,1182,0.3984771573604061,0.33840947546531297,0.09643788010425716,0.3001737619461338,0.06175972927241963,80185.0,0.07868020304568528,0.0,0.9037854889589906,0.5553284671532847,0
360050004004,11.537572825120964,711,0.5035161744022504,38.2,0.05485232067510549,0.4964838255977497,0.12376933895921237,0.0,0.0,0.29254571026722925,0.05485232067510549,0.03234880450070324,263,0.17870722433460076,0.4106463878326996,0.033707865168539325,0.3579454253611557,0.0,125114.0,0.0,,1.0,0.7158931082981715,1
360050016001,13.531600172470641,3004,0.4034620505992009,28.3,0.013315579227696404,0.2410119840213049,0.5818908122503329,0.0,0.0,0.1318242343541944,0.041278295605858856,0.03195739014647137,1029,0.5034013605442177,0.31875607385811466,0.2466007416563659,0.15142150803461066,0.2662779397473275,32904.0,0.3974732750242954,0.4376528117359413,0.9449838187702264,0.4114513981358189,2
360050016002,10.334537323701413,788,0.4885786802030457,49.4,0.0,0.6548223350253807,0.07487309644670051,0.0,0.0,0.18908629441624367,0.0,0.08121827411167512,258,0.22093023255813954,0.6627906976744186,0.2307692307692308,0.2027972027972028,0.3953488372093023,46827.0,0.38372093023255816,0.4848484848484848,0.9873015873015872,0.399746192893401,3
360050016003,10.803625377643504,894,0.3568232662192394,33.5,0.02796420581655481,0.21588366890380314,0.4317673378076063,0.0,0.0,0.2706935123042505,0.08165548098434004,0.053691275167785234,352,0.33238636363636365,0.5965909090909091,0.2879045996592845,0.2759795570698467,0.1846590909090909,33558.0,0.24431818181818185,0.04651162790697674,0.9028871391076116,0.4261744966442953,0
360050016004,5.3635728678453525,1139,0.4442493415276558,44.1,0.0,0.3959613696224759,0.3037752414398595,0.0,0.0,0.30026338893766463,0.0,0.0,332,0.3313253012048193,0.4427710843373494,0.24931880108991825,0.17302452316076294,0.3855421686746988,40938.0,0.3072289156626506,0.3725490196078432,1.0,0.2783143107989464,2
360050019001,6.607539650358563,2059,0.5070422535211268,29.5,0.03011170471102477,0.25449247207382225,0.36668285575522097,0.0,0.0,0.28460417678484695,0.0611947547353084,0.06410879067508499,840,0.39166666666666666,0.0880952380952381,0.17211155378486054,0.2908366533864542,0.3047619047619048,42212.0,0.3357142857142857,0.4397163120567376,0.9208294062205468,0.5152986886838271,2
360050019002,14.770309760374053,216,0.5138888888888888,30.6,0.0,0.1111111111111111,0.08796296296296298,0.0,0.0,0.5601851851851852,0.19907407407407407,0.24074074074074076,63,0.5238095238095238,0.0,0.0962962962962963,0.11851851851851852,0.2698412698412698,29313.0,0.2698412698412698,0.0,0.8415841584158416,0.4675925925925926,2
360050019003,7.0838445807770976,866,0.4942263279445728,32.5,0.02309468822170901,0.1581986143187067,0.40300230946882215,0.05196304849884527,0.0,0.32563510392609696,0.049653579676674366,0.038106235565819865,176,0.21022727272727276,0.2215909090909091,0.28698752228163993,0.17647058823529413,0.14204545454545456,68000.0,0.23863636363636365,0.2857142857142857,0.8303797468354429,0.4561200923787529,2
360050020001,8.26732499800908,897,0.5183946488294314,46.8,0.0,0.39130434782608703,0.5317725752508361,0.0,0.0,0.07692307692307693,0.0,0.0,303,0.36303630363036304,0.42904290429042896,0.2066365007541478,0.2458521870286576,0.34983498349834985,61831.0,0.2805280528052805,0.5529411764705882,0.8449367088607594,0.35228539576365664,0
360050020002,10.980878654621577,1794,0.5027870680044593,41.5,0.0,0.4531772575250836,0.14827201783723526,0.04682274247491639,0.0,0.3232998885172798,0.02842809364548495,0.02842809364548495,737,0.2808683853459973,0.4911804613297151,0.3976653696498054,0.12840466926070038,0.3324287652645861,38535.0,0.3405698778833107,0.5856573705179283,0.8968421052631579,0.5295429208472687,2
360050020003,11.59750505904352,2921,0.4988017802122561,25.2,0.0,0.468675111263266,0.37897980143786375,0.0,0.0,0.0951728859979459,0.05717220130092434,0.05717220130092434,1092,0.456043956043956,0.33699633699633696,0.494901427600272,0.037389530931339225,0.6272893772893773,,0.6272893772893773,0.5270072992700731,0.6531791907514449,0.29613146182814104,2
360050020004,7.2449669240379295,1132,0.37809187279151946,26.1,0.08745583038869258,0.09628975265017667,0.6581272084805654,0.0,0.0,0.1439929328621908,0.10159010600706714,0.01413427561837456,413,0.4673123486682809,0.3002421307506053,0.33157894736842103,0.07719298245614035,0.6852300242130751,12210.0,0.7021791767554479,0.3310344827586207,0.828125,0.2826855123674912,2
360050020005,16.939003619331487,1005,0.4059701492537313,35.0,0.08358208955223881,0.281592039800995,0.5671641791044776,0.0,0.0,0.06766169154228856,0.08358208955223881,0.0,328,0.17073170731707318,0.3079268292682927,0.4478764478764479,0.0296010296010296,0.22560975609756095,28837.0,0.4725609756097561,0.8709677419354839,0.8894348894348895,0.4049751243781095,2
360050020006,13.625424672793093,1291,0.3625096824167312,28.7,0.0,0.18977536793183575,0.4756003098373354,0.021688613477924088,0.0,0.28737412858249417,0.02556158017041053,0.02556158017041053,396,0.5732323232323232,0.4823232323232323,0.4417952314165498,0.015427769985974752,0.7323232323232324,,0.6388888888888888,0.2252964426877471,0.8288043478260869,0.28505034856700234,2
360050023001,9.562948762874557,2234,0.4462846911369741,36.7,0.0017905102954341987,0.11862130707251567,0.36481647269471795,0.02193375111906893,0.0,0.4825425246195166,0.012085944494180842,0.010295434198746643,972,0.2304526748971193,0.5061728395061729,0.3540328336902213,0.09635974304068523,0.41152263374485604,21296.0,0.5864197530864198,0.6894736842105262,0.9060240963855422,0.3715308863025962,2
360050023002,7.800766055410018,619,0.4798061389337641,36.5,0.011308562197092085,0.2827140549273021,0.27140549273021003,0.0,0.0,0.3683360258481422,0.07754442649434573,0.06623586429725363,259,0.41698841698841704,0.38996138996139,0.3838862559241705,0.13744075829383887,0.444015444015444,20721.0,0.7567567567567568,0.7142857142857143,0.8141592920353983,0.3651050080775444,2
