cluster,cdi_per_capita,week,date_range_start,cdi
0,-0.009313890271403093,4,2020-01-20 00:00:00-05:00,-14190.028500751854
1,-0.004299870175892367,4,2020-01-20 00:00:00-05:00,-8670.266822409714
2,-0.006413062540257981,4,2020-01-20 00:00:00-05:00,-13569.373376681702
3,-0.003498490403973438,4,2020-01-20 00:00:00-05:00,-9667.938291764454
0,-0.007091174349720231,5,2020-01-27 00:00:00-05:00,-10803.64522172667
1,-0.0025627693054607603,5,2020-01-27 00:00:00-05:00,-5167.573153069679
2,-0.0038859074255910633,5,2020-01-27 00:00:00-05:00,-8222.17597817845
3,-0.001350348918346858,5,2020-01-27 00:00:00-05:00,-3731.6352218948305
0,0.0005279605136969887,6,2020-02-03 00:00:00-05:00,804.3657932748247
1,0.0006051613199520856,6,2020-02-03 00:00:00-05:00,1220.2484958740242
2,0.00445377300727319,6,2020-02-03 00:00:00-05:00,9423.720490997322
3,0.0030216732388512885,6,2020-02-03 00:00:00-05:00,8350.273128635992
0,0.0020655262232233823,7,2020-02-10 00:00:00-05:00,3146.8994289724214
1,0.0004020396697026231,7,2020-02-10 00:00:00-05:00,810.6735940677099
2,0.006040110561126688,7,2020-02-10 00:00:00-05:00,12780.245775845717
3,0.0036160603825830147,7,2020-02-10 00:00:00-05:00,9992.838224852836
0,8.23429668020334e-05,8,2020-02-17 00:00:00-05:00,125.45230958377215
1,-0.003415637828691042,8,2020-02-17 00:00:00-05:00,-6887.298949048272
2,0.004300346934307739,8,2020-02-17 00:00:00-05:00,9099.086876913992
3,0.0013576487097890222,8,2020-02-17 00:00:00-05:00,3751.807903553563
0,-0.003644009940763193,9,2020-02-24 00:00:00-05:00,-5551.77304109071
1,-0.009217972191324628,9,2020-02-24 00:00:00-05:00,-18587.137562531367
2,-0.00040113393037550377,9,2020-02-24 00:00:00-05:00,-848.7576787457947
3,-0.0034569691160072913,9,2020-02-24 00:00:00-05:00,-9553.1958733215
0,-0.0037012019034676213,10,2020-03-02 00:00:00-05:00,-5638.906940797635
1,-0.013252020934589735,10,2020-03-02 00:00:00-05:00,-26721.401516548613
2,-0.0011800043326625417,10,2020-03-02 00:00:00-05:00,-2496.7664474633348
3,-0.006093082433811844,10,2020-03-02 00:00:00-05:00,-16837.98958254166
0,-0.00856269386550432,11,2020-03-09 00:00:00-04:00,-13045.555235687243
1,-0.018386626515912902,11,2020-03-09 00:00:00-04:00,-37074.83047993981
2,-0.006326421699083613,11,2020-03-09 00:00:00-04:00,-13386.050367404234
3,-0.011116839822312301,11,2020-03-09 00:00:00-04:00,-30720.94217536715
0,-0.014047017417426744,12,2020-03-16 00:00:00-04:00,-21401.108634041844
1,-0.023692753215122368,12,2020-03-16 00:00:00-04:00,-47774.11496847916
2,-0.012182142355248678,12,2020-03-16 00:00:00-04:00,-25776.146280901252
3,-0.016481326128919647,12,2020-03-16 00:00:00-04:00,-45545.4855042243
0,-0.02091903268766403,13,2020-03-23 00:00:00-04:00,-31870.857546767533
1,-0.029724680107460835,13,2020-03-23 00:00:00-04:00,-59936.90441804424
2,-0.020107621084287264,13,2020-03-23 00:00:00-04:00,-42545.63502175909
3,-0.022500671437003475,13,2020-03-23 00:00:00-04:00,-62179.705489301625
0,-0.0264837628037089,14,2020-03-30 00:00:00-04:00,-40348.913079385835
1,-0.03499551716865464,14,2020-03-30 00:00:00-04:00,-70565.03080990956
2,-0.025895675053414276,14,2020-03-30 00:00:00-04:00,-54792.55526281905
3,-0.027994409462015243,14,2020-03-30 00:00:00-04:00,-77361.43077190065
0,-0.030933763834009816,15,2020-04-06 00:00:00-04:00,-47128.64094908431
1,-0.03701854748611903,15,2020-04-06 00:00:00-04:00,-74644.27318810538
2,-0.031129528230788836,15,2020-04-06 00:00:00-04:00,-65866.84426541316
3,-0.03161936871150773,15,2020-04-06 00:00:00-04:00,-87378.86065950316
0,-0.032364616005653754,16,2020-04-13 00:00:00-04:00,-49308.592881557684
1,-0.036786485492387645,16,2020-04-13 00:00:00-04:00,-74176.34291982141
2,-0.03300080936341135,16,2020-04-13 00:00:00-04:00,-69826.28052880461
3,-0.03227925219528716,16,2020-04-13 00:00:00-04:00,-89202.42227158825
0,-0.03277147877027302,17,2020-04-20 00:00:00-04:00,-49928.46213678914
1,-0.03606307001085979,17,2020-04-20 00:00:00-04:00,-72717.64649603769
2,-0.033449517663729625,17,2020-04-20 00:00:00-04:00,-70775.70062661485
3,-0.03227833105870057,17,2020-04-20 00:00:00-04:00,-89199.87674747671
0,-0.03254545586870736,18,2020-04-27 00:00:00-04:00,-49584.10856147519
1,-0.03534356036767531,18,2020-04-27 00:00:00-04:00,-71266.82581250124
2,-0.03315157771325899,18,2020-04-27 00:00:00-04:00,-70145.29067717383
3,-0.03202248429531944,18,2020-04-27 00:00:00-04:00,-88492.85445074346
0,-0.031629225462033554,19,2020-05-04 00:00:00-04:00,-48188.20038507383
1,-0.03451887751945878,19,2020-05-04 00:00:00-04:00,-69603.9336679917
2,-0.032156305363131715,19,2020-05-04 00:00:00-04:00,-68039.39789262896
3,-0.03148834153354344,19,2020-05-04 00:00:00-04:00,-87016.77229428597
0,-0.031148475136182324,20,2020-05-11 00:00:00-04:00,-47455.76091812838
1,-0.03408263587804998,20,2020-05-11 00:00:00-04:00,-68724.29514977174
2,-0.03139355600866073,20,2020-05-11 00:00:00-04:00,-66425.4995845012
3,-0.03133786091803525,20,2020-05-11 00:00:00-04:00,-86600.92513255368
0,-0.03004672803911059,21,2020-05-18 00:00:00-04:00,-45777.21175633832
1,-0.0327009072940847,21,2020-05-18 00:00:00-04:00,-65938.17486960698
2,-0.03015875114611837,21,2020-05-18 00:00:00-04:00,-63812.78091506726
3,-0.03006566709829323,21,2020-05-18 00:00:00-04:00,-83085.2683994494
0,-0.028917594538369243,22,2020-05-25 00:00:00-04:00,-44056.93847741983
1,-0.03232969606967814,22,2020-05-25 00:00:00-04:00,-65189.66381429114
2,-0.02863901480246103,22,2020-05-25 00:00:00-04:00,-60597.17686446807
3,-0.029555737222582045,22,2020-05-25 00:00:00-04:00,-81676.09758511659
0,-0.02790186160235711,23,2020-06-01 00:00:00-04:00,-42509.43481448555
1,-0.03199682185235377,23,2020-06-01 00:00:00-04:00,-64518.45557672985
2,-0.02725345661750935,23,2020-06-01 00:00:00-04:00,-57665.47984316157
3,-0.029191761515357146,23,2020-06-01 00:00:00-04:00,-80670.26527722887
0,-0.02573555146315787,24,2020-06-08 00:00:00-04:00,-39208.98766287077
1,-0.03026250252996844,24,2020-06-08 00:00:00-04:00,-61021.37062643342
2,-0.025019492160557606,24,2020-06-08 00:00:00-04:00,-52938.64338455521
3,-0.027849591219407395,24,2020-06-08 00:00:00-04:00,-76961.23135118357
0,-0.024946342869804194,25,2020-06-15 00:00:00-04:00,-38006.60153780426
1,-0.030292650029115277,25,2020-06-15 00:00:00-04:00,-61082.16010400811
2,-0.024447862858121047,25,2020-06-15 00:00:00-04:00,-51729.135230046915
3,-0.02734186426738007,25,2020-06-15 00:00:00-04:00,-75558.14822833413
0,-0.02397031425324173,26,2020-06-22 00:00:00-04:00,-36519.588755498386
1,-0.02953623113123298,26,2020-06-22 00:00:00-04:00,-59556.915525480435
2,-0.023452628605506818,26,2020-06-22 00:00:00-04:00,-49623.32305587747
3,-0.02647341343183488,26,2020-06-22 00:00:00-04:00,-73158.21908233842
0,-0.022989461403030136,27,2020-06-29 00:00:00-04:00,-35025.22608920413
1,-0.02921509306462885,27,2020-06-29 00:00:00-04:00,-58909.37208570374
2,-0.022504156720009848,27,2020-06-29 00:00:00-04:00,-47616.45518724197
3,-0.02560620761764243,27,2020-06-29 00:00:00-04:00,-70761.73050305013
0,-0.02242018510133294,28,2020-07-06 00:00:00-04:00,-34157.91428817419
1,-0.028987388078527996,28,2020-07-06 00:00:00-04:00,-58450.227296319994
2,-0.022055034412649506,28,2020-07-06 00:00:00-04:00,-46666.15909358746
3,-0.025321614082410578,28,2020-07-06 00:00:00-04:00,-69975.26765217833
0,-0.021761099214300215,29,2020-07-13 00:00:00-04:00,-33153.77453035966
1,-0.02804494982287884,29,2020-07-13 00:00:00-04:00,-56549.892912752526
2,-0.021511229965354754,29,2020-07-13 00:00:00-04:00,-45515.525438774275
3,-0.02460971313606825,29,2020-07-13 00:00:00-04:00,-68007.95786299916
0,-0.020863208043529223,30,2020-07-20 00:00:00-04:00,-31785.806803390253
1,-0.02649810299448569,30,2020-07-20 00:00:00-04:00,-53430.827874286915
2,-0.02078907831771928,30,2020-07-20 00:00:00-04:00,-43987.52765614896
3,-0.02353100708698714,30,2020-07-20 00:00:00-04:00,-65026.996844605485
0,-0.020963598943044025,31,2020-07-27 00:00:00-04:00,-31938.75575209163
1,-0.02601969862748088,31,2020-07-27 00:00:00-04:00,-52466.1723518497
2,-0.020620461433322645,31,2020-07-27 00:00:00-04:00,-43630.75186492166
3,-0.023280443201246233,31,2020-07-27 00:00:00-04:00,-64334.57356891591
0,-0.021053213151933595,32,2020-08-03 00:00:00-04:00,-32075.286046218003
1,-0.02507340656767599,32,2020-08-03 00:00:00-04:00,-50558.06714987501
2,-0.020331472435743937,32,2020-08-03 00:00:00-04:00,-43019.28120090085
3,-0.0228728484197206,32,2020-08-03 00:00:00-04:00,-63208.20169396109
0,-0.021750797708517913,33,2020-08-10 00:00:00-04:00,-33138.07983604913
1,-0.02512176169410773,33,2020-08-10 00:00:00-04:00,-50655.57052352221
2,-0.021115107369650693,33,2020-08-10 00:00:00-04:00,-44677.37122301441
3,-0.02321052232467493,33,2020-08-10 00:00:00-04:00,-64141.35002334615
0,-0.022540875118030053,34,2020-08-17 00:00:00-04:00,-34341.7896320728
1,-0.02487263577843603,34,2020-08-17 00:00:00-04:00,-50153.232528909975
2,-0.021976674454509997,34,2020-08-17 00:00:00-04:00,-46500.357571599874
3,-0.023392321547159842,34,2020-08-17 00:00:00-04:00,-64643.74490271434
0,-0.0231560947493874,35,2020-08-24 00:00:00-04:00,-35279.0976579132
1,-0.025335215822298217,35,2020-08-24 00:00:00-04:00,-51085.979854513775
2,-0.022697087822448375,35,2020-08-24 00:00:00-04:00,-48024.67733516722
3,-0.023722630112356584,35,2020-08-24 00:00:00-04:00,-65556.53941029293
0,-0.023119900518372337,36,2020-08-31 00:00:00-04:00,-35223.95451635787
1,-0.02532982321771862,36,2020-08-31 00:00:00-04:00,-51075.106195854256
2,-0.022738231184706446,36,2020-08-31 00:00:00-04:00,-48111.732410795616
