date_range_start,cdi
2019-01-07 00:00:00-05:00,
2019-01-14 00:00:00-05:00,
2019-01-21 00:00:00-05:00,
2019-01-28 00:00:00-05:00,354489.82283009496
2019-02-04 00:00:00-05:00,297742.5498076724
2019-02-11 00:00:00-05:00,274256.2226985179
2019-02-18 00:00:00-05:00,288258.4523960841
2019-02-25 00:00:00-05:00,292527.36820894846
2019-03-04 00:00:00-05:00,274486.8154471168
2019-03-11 00:00:00-04:00,280219.72693964484
2019-03-18 00:00:00-04:00,292351.7922884339
2019-03-25 00:00:00-04:00,305073.91999431554
2019-04-01 00:00:00-04:00,320733.45366910193
2019-04-08 00:00:00-04:00,316979.7243290561
2019-04-15 00:00:00-04:00,319028.9671005886
2019-04-22 00:00:00-04:00,319938.20919939346
2019-04-29 00:00:00-04:00,319055.80142502097
2019-05-06 00:00:00-04:00,315975.40032755875
2019-05-13 00:00:00-04:00,316312.48871402594
2019-05-20 00:00:00-04:00,311119.8505800563
2019-05-27 00:00:00-04:00,309425.7205799054
2019-06-03 00:00:00-04:00,310232.557478327
2019-06-10 00:00:00-04:00,301039.81561561336
2019-06-17 00:00:00-04:00,302001.99544926063
2019-06-24 00:00:00-04:00,300417.7353097581
2019-07-01 00:00:00-04:00,299054.41541312303
2019-07-08 00:00:00-04:00,300295.75766760483
2019-07-15 00:00:00-04:00,297666.26204717497
2019-07-22 00:00:00-04:00,288226.51470741915
2019-07-29 00:00:00-04:00,288692.8076559068
2019-08-05 00:00:00-04:00,286323.0671926926
2019-08-12 00:00:00-04:00,291302.4052317994
2019-08-19 00:00:00-04:00,295107.8063627357
2019-08-26 00:00:00-04:00,299272.94430637924
2019-09-02 00:00:00-04:00,299301.0703179662
2019-09-09 00:00:00-04:00,301277.19267084415
2019-09-16 00:00:00-04:00,303368.4036548872
2019-09-23 00:00:00-04:00,300693.9351134907
2019-09-30 00:00:00-04:00,297904.5768444859
2019-10-07 00:00:00-04:00,291500.7667612365
2019-10-14 00:00:00-04:00,284243.91092211305
2019-10-21 00:00:00-04:00,281868.65353491466
2019-10-28 00:00:00-04:00,280046.90320992016
2019-11-04 00:00:00-05:00,276936.12899073964
2019-11-11 00:00:00-05:00,277995.81461778627
2019-11-18 00:00:00-05:00,277972.7612004038
2019-11-25 00:00:00-05:00,281043.62241232634
2019-12-02 00:00:00-05:00,280878.44247057755
2019-12-09 00:00:00-05:00,286367.52016080555
2019-12-16 00:00:00-05:00,305137.82738075365
2019-12-23 00:00:00-05:00,320268.3173526007
2019-12-30 00:00:00-05:00,327659.3994885293
2020-01-06 00:00:00-05:00,333672.9623946794
2020-01-13 00:00:00-05:00,329437.99209525035
2020-01-20 00:00:00-05:00,331631.72917907604
2020-01-27 00:00:00-05:00,326565.23533424706
2020-02-03 00:00:00-05:00,317541.34710202884
2020-02-10 00:00:00-05:00,300987.0126730529
2020-02-17 00:00:00-05:00,294347.60629973595
2020-02-24 00:00:00-05:00,257986.6049195141
2020-03-02 00:00:00-05:00,222791.77837593993
2020-03-09 00:00:00-04:00,185992.37203016877
2020-03-16 00:00:00-04:00,151854.93320045614
2020-03-23 00:00:00-04:00,108540.74862377564
2020-03-30 00:00:00-04:00,77665.40949479076
2020-04-06 00:00:00-04:00,41961.001894492816
2020-04-13 00:00:00-04:00,36515.19098538621
2020-04-20 00:00:00-04:00,37316.41552632826
2020-04-27 00:00:00-04:00,39566.63247190276
2020-05-04 00:00:00-04:00,43127.04970409436
2020-05-11 00:00:00-04:00,47105.97622191778
2020-05-18 00:00:00-04:00,52506.36303560897
2020-05-25 00:00:00-04:00,57905.75899315574
2020-06-01 00:00:00-04:00,64868.86945637674
2020-06-08 00:00:00-04:00,70909.49571825853
2020-06-15 00:00:00-04:00,75625.84250291614
2020-06-22 00:00:00-04:00,81559.54711736503
2020-06-29 00:00:00-04:00,86741.51341186855
2020-07-06 00:00:00-04:00,91046.09104130219
2020-07-13 00:00:00-04:00,94439.01658939589
2020-07-20 00:00:00-04:00,93995.26817098704
2020-07-27 00:00:00-04:00,96322.47310509036
2020-08-03 00:00:00-04:00,97462.15591224363
2020-08-10 00:00:00-04:00,98689.95389202904
2020-08-17 00:00:00-04:00,99468.56421393238
2020-08-24 00:00:00-04:00,99326.57519136726
2020-08-31 00:00:00-04:00,99459.41424065281
2020-09-07 00:00:00-04:00,101140.18480722012
2020-09-14 00:00:00-04:00,100279.15681872074
2020-09-21 00:00:00-04:00,101182.43692847484
2020-09-28 00:00:00-04:00,100884.60366699882
2020-10-05 00:00:00-04:00,99403.5088103889
2020-10-12 00:00:00-04:00,103401.86494394798
2020-10-19 00:00:00-04:00,100901.70885495047
2020-10-26 00:00:00-04:00,98758.13917843904
2020-11-02 00:00:00-05:00,96327.74979147989
2020-11-09 00:00:00-05:00,93801.52476089685
2020-11-16 00:00:00-05:00,90959.85665086415
2020-11-23 00:00:00-05:00,88742.5147806214
2020-11-30 00:00:00-05:00,
2020-12-21 00:00:00-05:00,
2020-12-28 00:00:00-05:00,
