cbg,category_0_proximity_index,category_1_proximity_index,category_2_proximity_index,category_3_proximity_index,category_4_proximity_index,category_5_proximity_index
360050175002,264910.4680575604,94532473.12214719,43638065.76972618,275555550.2971698,114346868.59852353,48288478.94093481
360050141001,1129081.4779224955,90503161.26780292,52438618.812834546,214961754.8291182,97155761.57555845,2435800.479911427
360050145001,142307.3053534125,56954558.78708935,19030169.91828348,132814701.50439581,132110868.48039192,8273917.455002177
360050075002,1065779.375253725,93701928.46777965,38079114.02401045,149198793.05921274,94945785.06625952,4856147.4134765975
360050418001,0.0,45613316.65103327,5460587.346230784,51751969.2635119,27239310.4900515,4019654.725868178
360050125001,0.0,34158381.45096505,19237584.05032023,101540182.63560759,136283917.10694742,4536415.674062703
360050127012,0.0,65388753.61051305,33338368.44116517,133861759.53579894,166445490.78965336,25264809.099570464
360050054003,611725.1874042514,41587493.24997583,11101065.831737697,124691220.49161403,100533759.19689102,3861489.202321735
360050027011,12188783.073313344,40571497.42551109,28853302.187112343,80220022.87038496,94350289.1765101,3771781.7462852444
360050458001,0.0,11988169.730879381,5795350.625571998,10493888.319688737,24001779.109337725,4015692.353470899
360050224011,0.0,31834056.871902663,27768786.84028828,114149078.60351317,54966882.160269424,9277318.20338044
360050389001,10353640.185167404,58463620.36002515,19715191.07107314,123461057.93666962,59314149.63156727,45864569.05206199
360050071002,440747.8677026491,153824242.3214795,46642557.035963096,215785945.56074527,101513331.66924024,4510433.032646128
360050211003,0.0,101507952.34618002,8656031.326719077,113320972.8257905,112122866.71065116,11116638.063270306
360050197001,0.0,121191279.4422946,22299531.685901344,254868223.26344725,167844069.47972918,51201291.6881108
360470400002,5145358.893047223,11940868.556309814,2764104.6044799653,48481054.488144636,38555395.126421586,18229157.058398258
360470400003,4688992.525672898,14704486.26525065,3619899.2153714756,52188445.74057965,34626645.19188002,16605078.2771504
360470402002,2413104.896893102,16463883.671650376,3196501.866832415,59127013.28612878,23135819.943255074,10249142.327650484
360470403001,0.0,14719818.062288383,3173247.3420360275,25994058.910150483,23765473.46619604,7299671.030090671
