cbg,category_0_proximity_index,category_1_proximity_index,category_2_proximity_index,category_3_proximity_index,category_4_proximity_index,category_5_proximity_index
360050175002,0.0,37978730.73898428,1700004.2662134361,71405700.07731721,9457042.118798902,0.0
360050141001,0.0,25191024.306798186,0.0,80559718.85390407,7236314.901365167,0.0
360050145001,0.0,7691837.616520833,2430317.6574900625,1680502.5816165986,12841722.686968232,0.0
360050075002,0.0,5906373.23365656,9508684.470452083,9073974.92042587,4938370.5198726915,0.0
360050418001,0.0,2902821.220038441,640340.3391745038,720292.5638473241,1438321.4834177825,0.0
360050125001,0.0,512886.03011644655,442799.29454676335,8913266.654138863,176926.3149361863,0.0
360050127012,0.0,2144383.763316149,8721421.17003289,15518275.765472483,670986.244735097,0.0
360050054003,0.0,2799563.641467038,0.0,10042065.449236082,6650798.243876933,0.0
360050027011,12188783.073313344,5225613.444498174,0.0,494886.67381044204,67006218.3599692,1206788.2308291649
360050458001,0.0,0.0,0.0,2002024.7993620182,0.0,0.0
360050224011,0.0,0.0,8475581.291657053,15676111.26365926,0.0,0.0
360050389001,0.0,0.0,3404042.538921918,11878484.136057924,5343185.50625303,2845197.2196678123
360050071002,0.0,2953585.161662206,271528.74765773636,12218312.609397043,4677558.274104443,168359.81044250084
360050211003,0.0,3145700.081557492,2371834.4517069357,9412418.202601302,14009279.608949188,1973554.153919013
360050197001,0.0,23086325.89712189,4754979.429224211,17851251.959151763,18304680.345620066,0.0
360470400002,0.0,2710629.981722785,163186.21362332508,4688544.348305368,1894790.2122120145,856809.2716720668
360470400003,0.0,5717936.870329728,435288.3697529945,3562252.8581172675,259671.10840504777,621278.5631678555
360470402002,0.0,7548585.476091812,778352.8066054475,1491924.349871858,4303.5686626122415,147541.87671479624
360470403001,0.0,0.0,1290677.1908335595,3239863.408922181,4855219.796213489,0.0
360470404001,0.0,12717829.748131854,1511811.1916799627,3328897.4308120385,836060.6771927807,0.0
360470404002,0.0,13435101.29080145,1691903.1115287147,3674366.3838781775,1078940.8806793396,0.0
360470405002,0.0,0.0,2370248.278032504,3406147.3018792304,4285647.451529639,0.0
360470408001,0.0,5867669.543944377,266505.3269699316,5358887.010293205,3300255.1273642303,587400.0985878537
360470408002,0.0,7313061.336791528,386334.28670216695,4598652.379456733,2157492.687003702,522731.185936233
360470409001,0.0,0.0,448550.4588901494,2939196.6298500844,98904.17780180463,1213415.3681622068
360470409002,0.0,0.0,954214.4388039717,3498452.3892051806,1944219.0195468047,506099.7412459517
360470410001,0.0,2267184.248927762,0.0,6186741.727697635,6261839.151743017,846052.4324171492
360470410002,0.0,4734073.317690645,103848.05464735375,6496247.58099171,4838831.397287615,606245.0441976738
360470411001,0.0,0.0,1297658.4598921756,3086993.4290295593,3816228.6537089497,0.0
360470411002,0.0,0.0,1695134.4610139397,3177836.8102269936,5976989.881684483,0.0
360470412001,0.0,2157525.7935797954,0.0,9186949.494558273,8669656.301470209,2092079.3366403964
360470414021,0.0,4020291.3869662844,0.0,5670754.731789082,10752563.53476479,573790.6393881331
360470414022,0.0,3481182.778075911,0.0,6238911.90738289,11717077.059279937,751529.4593024019
360471118001,0.0,0.0,0.0,2276987.8915972924,1036000.0,0.0
360470415002,0.0,792135.7686505499,2357144.642275449,3044151.5436216644,5990511.2072642045,916150.7560359936
360470416001,0.0,4663615.961513212,0.0,3247354.9508321146,6787745.56705664,162480.10255293176
360470417002,0.0,1171053.6814759683,2135755.471579554,3987517.4245072473,3617322.5185391936,1462441.3240874424
360470417004,0.0,1471592.4639252687,2234529.2945870403,6391121.121740048,1817662.5026428073,1599811.9471889674
360470419001,0.0,1348228.5971266169,2294432.9728189567,7507329.064126156,1852236.4813647072,1725027.1106253045
360470419003,0.0,1041002.8143291208,2075046.1789912817,8361394.074500091,2280778.332152572,1972353.336602808
360470420001,1293539.4006967286,1388311.7871261742,0.0,8104487.021923253,3419915.7369132414,1361054.8380480174
360470420002,726506.9849722761,2082539.456273038,0.0,9388449.855546061,6483315.129876165,1722506.6044952963
360470421003,0.0,312323.9254101579,1197129.4225768044,9647623.85360818,2779729.2423584736,2401158.025628493
360470421004,0.0,513761.6991084362,1354479.9752790143,9297077.094795851,2718603.4178368878,2232993.3522922476
360470422001,530435.4871094365,1342523.7970908857,0.0,10771121.833893375,7350400.089701156,3264229.67664729
360470422002,22351.57375107079,1229002.3562756001,0.0,10518219.010564337,10396482.016245063,2563153.957957194
360470423001,0.0,274171.2718533017,816694.9783982298,8117730.500324987,3347999.6431992617,2787652.215820281
360470424001,38181.830194057584,2463950.3008721676,0.0,9520238.688365199,7183435.119464401,3485524.1876017507
360470424002,0.0,5212634.657440053,0.0,8264550.072448776,6354596.187580286,2365082.8214723812
360470424003,0.0,6643748.509621101,0.0,7882861.048115292,5536335.789467725,1819711.5190717732
360470425002,0.0,750553.0750087773,0.0,6346504.83482847,3161592.7518015746,2555749.7418660503
360470426001,0.0,8052233.4411392445,23230.898822539268,7477760.509003991,4411495.413991554,1247499.074506082
360470426003,0.0,10711291.40963865,212464.73204132525,5060719.983097007,2976396.642233235,255810.98551631861
360470427001,0.0,0.0,171333.52748954625,10659886.119872315,574365.4994587111,1979440.8067446975
360470428001,0.0,11644390.779744364,338260.79477744736,4334121.871657058,2677210.195100793,0.0
360470428002,0.0,13359213.388937587,700865.0815887002,3971765.904459434,2255210.036867908,0.0
360470428003,0.0,10858119.027921077,623510.5345325224,4432778.111589587,3421869.3238796205,0.0
360470429002,0.0,399309.8396415422,561024.3499555362,13487499.582475211,148738.0466204499,1753974.348617
360470430003,0.0,7597924.359886045,0.0,4451498.816410752,5249344.965333971,0.0
360470431004,0.0,1173241.93193134,885568.3677598987,15667449.487632694,247136.37456298247,1237894.210506015
360470433001,0.0,2541111.5555997994,1670229.4067191712,9258923.282983191,687167.5273901834,839146.5025057017
360470434002,125320.81587513209,3697554.8190250034,0.0,7013220.015145142,6292257.978037581,3076994.5804936867
360470918001,0.0,4917725.809402962,7039879.745928882,3498047.5846826043,0.0,0.0
360470922001,0.0,0.0,1849245.758720784,4814258.018627511,0.0,0.0
360470922002,0.0,0.0,1791954.2994103644,5050795.776214955,566423.2080177548,0.0
360470928002,0.0,0.0,531963.531977569,4047621.785605487,8549674.582880147,0.0
360470930001,0.0,0.0,0.0,1907587.7750540767,14381520.959866004,0.0
360470930002,0.0,0.0,0.0,1601117.9446965638,22499424.12877664,0.0
360470934001,0.0,438240.815623174,0.0,2007226.5653509516,13340830.160824234,0.0
360470934002,0.0,236965.10570405592,0.0,1567748.9409848654,20175297.416406654,797797.9607130626
360470936002,0.0,686295.7494119845,0.0,1863408.4348481847,14247426.179917034,1578353.0581935395
360471120001,0.0,0.0,0.0,1200397.789858729,614638.7117787707,0.0
360471122001,0.0,0.0,0.0,4693516.170131244,6855620.637987893,212018.73217364366
360471122002,0.0,0.0,0.0,8696287.881728347,15325087.526841205,538194.706870499
360471124001,0.0,0.0,0.0,1038880.4427869323,929643.6625458254,32302.599093194716
360471124002,0.0,0.0,0.0,1942145.8831796988,3122957.0567084276,255833.1903604828
360471126002,0.0,2364791.794202751,2233453.84219229,4508612.557543681,7067834.820995361,616571.6861639107
360471128002,0.0,279378.51225293876,263862.13498666824,11122551.739635672,18537579.20398963,863508.9719698408
360471130003,0.0,3702577.585262431,3496940.472346048,6979566.856584241,9749828.984435568,761541.3795929227
360470252003,0.0,953893.0257945239,0.0,2480499.908996157,459099.68930453877,0.0
360470253003,0.0,15873156.256670479,6620574.954454402,6014483.365194481,792054.0175244897,0.0
360470254001,18798.98948864017,696332.3959153115,0.0,3734753.6935240757,5509174.8409469705,96503.11264572365
360470254002,0.0,879435.4954554089,0.0,4189710.2817671755,4101822.010050231,0.0
360470254003,0.0,1125989.686131007,0.0,4140780.247399174,2203525.3745858264,0.0
360470256001,0.0,1012978.8325729349,0.0,5090999.80056277,6165283.6158024985,0.0
360470257001,0.0,21065800.169665873,5177112.387423672,11990884.562406043,645142.6524865353,0.0
360470257002,0.0,20379843.101417877,2345471.7666713796,16796283.463197023,822027.2807706279,355040.67585247854
360470258001,0.0,3602924.035780952,0.0,4529807.446257018,6900175.369397906,0.0
360470259011,0.0,18295925.732419003,2912756.2203585883,10030981.54707814,359264.6312507938,253548.97803921805
360470260001,0.0,1242661.5310340533,0.0,3787392.63025094,1826014.0288592246,0.0
360470260002,0.0,1500000.0,0.0,4280488.615969114,2593394.9400339928,0.0
360470260003,0.0,1129684.8117852255,0.0,3457397.898600188,1444410.239344318,0.0
360470261002,0.0,11029020.854421038,131941.73237406224,7362539.50023223,0.0,313246.26129271614
360470261003,0.0,10093644.312936751,1716999.5971859063,5972226.808665909,0.0,9601.16087919559
360470262001,0.0,1018438.4253852593,0.0,2905641.9917909396,573168.9595242091,0.0
360470262002,0.0,1061947.6200057534,0.0,4163603.941613051,1178636.9754369273,0.0
360470264003,0.0,976571.4174733404,0.0,10671274.392686896,3897862.5106285093,235599.17675767277
360470264004,0.0,894148.831022372,0.0,7068210.930913743,2589007.046304096,0.0
360470265001,0.0,7013750.321221462,2888813.4750588974,6901755.078682291,659388.4981488041,0.0
360470266001,0.0,4176541.6869711345,0.0,3782901.753523591,5519265.444707984,0.0
360470266003,0.0,1202711.7908293975,0.0,5916414.1356532965,3758306.9935912266,9830.875090482363
360470267001,0.0,6668857.22404784,2707891.1338042277,13002176.935906082,4333061.480098447,562489.80628073
360470267002,0.0,6491640.230372796,2447252.6614534752,14289995.186834121,5179928.970823828,853421.143419675
360470267003,0.0,6207205.975439552,2111254.1423824327,15678570.744438788,5974633.875013615,1115848.752832624
360470268001,0.0,6649205.58774185,47999.50918571748,4212468.71343297,4683667.579881806,42245.48012114744
360470268002,0.0,7331146.629004081,215632.95536800323,6512472.4512743335,4134227.0141552277,274550.8419900336
360470269003,0.0,8340423.9325267235,1528099.267843008,21892979.254222836,9152458.609603561,2811969.798689915
360470270002,0.0,11236427.33651209,976848.6733800997,8283385.772691358,2920149.7535875617,492020.36055555334
360470272001,0.0,8357495.573086557,367165.1952854453,7620764.352238063,3979471.108212555,375894.1292421242
360470304002,0.0,6394691.365015154,858920.1397974559,1026915.936897394,487283.5400095941,0.0
360470306001,0.0,3967086.049770032,168124.6603258057,1989280.4968430714,0.0,0.0
360470307002,0.0,157131.78439313654,193775.24821113463,3027341.1477479264,496311.1133421916,2190048.304759408
360470307003,0.0,502151.4927613728,669595.4466141283,3842815.8253508746,0.0,5023543.88029835
360470308001,0.0,5552764.245896075,10091665.22621698,1390729.1138481775,0.0,10091665.22621698
360470309001,0.0,2903330.676601627,749071.7416392021,5870816.864008027,453939.67314791435,10429675.327653885
360470434003,96235.59036984436,3994694.3663126538,0.0,5999306.357639518,6602093.293116966,2473911.7390049435
360470435002,0.0,1807390.2733248575,1300866.554910512,4534284.623107648,1201035.0973704327,2478126.937905652
360470800003,0.0,1765840.3522646418,7358413.062035271,16431752.35639855,4387029.351976108,4460829.851631662
360470802001,0.0,2292063.1010505487,6014411.207840857,15408571.101853715,5619384.18277292,4406355.783866764
360470804001,0.0,1713294.5684083214,12370855.279162016,8446951.951035824,1974634.7437247196,1378300.506662475
360470806001,0.0,1148862.4502776368,17238900.075983528,8969483.376067113,5097850.722540892,0.0
360470810001,0.0,1939327.7650401173,14243003.156294934,7325120.489861794,4319911.803222278,95890.60607715967
360470816001,0.0,8739544.8771015,2238286.468283766,2139544.36468316,2299695.745219866,840048.6749065474
360470816002,0.0,9080557.120682288,3035999.0559915206,1866226.136770488,2727047.7327952883,927394.2700049425
360470818001,0.0,6201139.826485632,3796999.1011776384,4429762.572527584,3138482.5671773576,923442.5708330707
360470818002,0.0,7647295.0841405345,4504118.377205227,3240930.549629866,3250448.328972186,1312540.600378334
360470818003,0.0,6376475.760759301,5314231.363994126,4344301.437298496,3569737.956742158,1252055.4576284927
360470944011,0.0,737054.3436927729,1439499.1818174813,1647252.7983552036,0.0,3092646.9588148547
360470944012,0.0,1896682.743467459,1000544.599676273,4872122.185637131,0.0,1335170.1575505782
360470950001,0.0,1902443.3953354526,0.0,13772565.124838442,0.0,0.0
360470950002,0.0,2140000.0,0.0,9782943.973183893,4033799.645539387,0.0
360470954001,0.0,1563098.1135666012,0.0,7294899.132460343,13145952.979752012,43237.28342274507
360470956001,0.0,868763.7881548742,0.0,9624382.134688426,0.0,0.0
360470962001,0.0,93568.21851704421,0.0,2842872.5881810626,21323433.53845284,0.0
360470964001,0.0,133921.3570451814,0.0,3294907.792046058,11270770.446768476,0.0
360470964002,0.0,15431.213874837758,0.0,2972060.274156439,4170764.860535135,0.0
360470272003,0.0,9127385.282616487,597256.3605886577,14980989.56444195,3560201.0169316567,864824.4235891392
360470273003,0.0,4871555.025298469,0.0,7915487.070401108,2209778.8748609745,4977132.021346146
360470275004,0.0,3806810.1727871425,0.0,7027554.486432634,2186972.869920843,2160470.6357623814
360470276001,0.0,2315659.5519722765,0.0,14362424.462058466,4615595.109066985,426120.6168733929
360470276002,0.0,4336139.487810962,0.0,17989016.224943582,5157208.610464769,652830.6646977217
